"№","Наименование","Остаток","Ед. измерения","Цена","Описание"
"11","Клейкая лента фольгированная алюминиевая","140","шт","150","Алюминиевая клейкая лента, фольгированная широкого назначения.
Сфера применения: ленты применяются при проведении разнообразных ремонтных, монтажных и теплоизоляционных работ, а также используются для герметизации стыков и швов деталей с металлическим покрытием (таких, например, как воздуховоды и трубы). 
Основа: алюминиевая фольга, клеевой слой выполнен на основе акрила.
Характеристики: ширина - 50 мм, длина - 50 м, рабочая температура ленты от -20 до +120 °С. 
Индивидуальная упаковка: ленты поставляются в рулонах, каждый рулон упакован в пленку."
"12","КНАУФ Тифенгрунд / KNAUF Tiefengrund грунтовка универсальная (10 л)","71","шт","750","Грунтовка универсальная глубокого проникновения. Влагостойкая, не содержит растворителей, без запаха, обладает антисептическим эффектом. Для наружных и внутренних работ.
Сфера применения: используется для обработки оснований для выравнивания их впитывающей способности. Может применяться для очень гигроскопичных оснований (гипс, гипсовые листы, наливные полы). 
Характеристики: расход на 1 кв. м. - 70-100 мл. Проведение работ допускается при температуре воздуха и основания от +5°С до +30°С. Высыхание - 30 минут.
Подготовка основания: поверхность очистить от грязи и пыли, отслаивающихся старых покрытий и масляных пятен.
Приготовление раствора: не разбавляя, наносить грунтовку на обрабатываемую поверхность краскопультом, кистью или валиком. Перед использованием состав тщательно перемешать.
Упаковка: пластиковое ведро 10 литров.
Хранение: в герметично закрытой таре при температуре от +5°С до 30°С, гарантийный срок хранения - 12 месяцев с даты изготовления , указанной на упаковке.
Грунтовки Кнауф – выбор профессионалов

Без грунтовки стен и пола не обходится ни один ремонт. Благодаря ей, материалы для отделки надежно скрепляются с загрунтованной поверхностью. Рынок строительных материалов богат различными грунтовками, отличающимися по химическому составу и характеристикам.

Выбор грунта зависит от некоторых особенностей. Это и характер поверхности, и уровень влажности в помещении, и выбор отделочных материалов для ремонта.

Оптимальную грунтовку можно выбрать из товарной серии КНАУФ, которая является европейским брендом. Кнауф – это одна из наиболее популярных европейских фирм-производителей материалов для строительства, пользующаяся безукоризненной репутацией среди своих клиентов. Она предлагает огромнейший выбор строительных материалов для внутренней и внешней отделки помещений.

Огромное внимание фирма Кнауф уделяет разработке грунтовых смесей. Одной из самых популярных грунтовок является knauf tiefengrund.

Достоинства грунтовки knauf тифенгрунд:

данная грунтовка подходит для всех отделочных материалов, выпускаемых данной фирмой;
очень экономична в расходе;
отлично переносит колебания температуры и атмосферную влажность;
пропускает воздух, что позволяет создать естественный микроклимат;
не содержит в своем составе веществ, оказывающих негативное влияние на здоровье;
Единственный минус, которым обладает грунтовка кнауф – цена, так как существуют более дешевые аналоги от других производителей.

Knauf тифенгрунд – это универсальная грунтовка на акриловой основе.

Кнауф тифенгрунд быстро сохнет и обладает высокой степенью проникновения. Она состоит из водной дисперсии мельчайших смоляных частиц. Материал не имеет в своем составе растворителей и пластификаторов. Грунтовка knauf тифенгрунд делает поверхность прочнее и оптимизирует ее впитывающую способность.

Характеристики грунтовки:

глубокая степень проникновения;
способность связывать частички пыли;
не задерживает водяные испарения;
не воспламеняется;
расход от 70 до100 мл/м3.
Область применения.

Грунтовка кнауф тифенгрунт подходит для обработки внутренних поверхностей помещения и внешних.

Используется для укладки бесшовного пола, а также для гипсокартонных и цементных плит. Также придает влагоустойчивые свойства гипсовым конструкциям. Используется для подготовки оснований перед отделочными работами (покраска, поклейка обоев, укладка плитки). Для глубокой грунтовки фасада перед покраской или штукатуркой.

Для того, чтобы нанести грунтовку на стены, следует использовать щетку, а при нанесении на потолок – валик. Температура грунтуемой поверхности не должна быть ниже + 5 градусов.

Все инструменты и посуду, которая использовалась в работе, нужно промыть водой до высыхания грунта. Высохший грунт возможно будет удалить только механическим путем.

Бывают различные емкости, в которых продается грунтовка кнауф тифенгрунд, цена за 10 л составляет около 700 р.|"
"13","Коллектор с вентильными кранами (Comisa) 3\4-1\2, 4 выхода (88.20.060)","47","шт","900","Коллектор с вентильными кранами, предназначен для распределения потока транспортируемой воды по потребителям (прибор или группа приборов, отдельные части или ветви системы).
Преимущества использования: применение коллекторных систем позволяет выравнивать давление в системе, осуществлять централизованное регулирование расхода, удаление воздуха и слив транспортируемой среды.
Сфера применения: элемент может использоваться на трубопроводах систем холодного (в том числе питьевого) и горячего водоснабжения, отопления, а также на технологических трубопроводах, транспортирующих жидкости, не агрессивные к материалам элементов коллекторных систем. 
Материал изготовления: материал корпуса - никель, ручки - пластик.
Технические характеристики: количество регулируемых выходов - 4, диаметр отверстий - 3/4 (наружный)-1/2 (внутренний)."
"14","Кран шаровой ф50 (4SPK0766)","121","шт","650","Запорно-регулирующая арматура, кран шаровой прямой белый, с ручкой.
Преимущества: шаровые краны – самый прогрессивный и современный вид запорной арматуры. Конструкция герметична, вместе с тем устройство крана очень простое.
Сфера применения: водозапорная арматура для установки в системах водоснабжения и отопления.
Конструкция: кран состоит из металлического корпуса, шаровидного затвора, седла для этого затвора. В затворе проделано сквозное отверстие, диаметр которого совпадает с диаметром трубопровода. 
Технология применения: достаточно повернуть шаровой затвор при помощи ручки на 90 градусов, чтобы закрыть или открыть воду.
Технические характеристики: цвет белый, внутренний диаметр - 50 мм."
"15","Миксер(Мешалка) для смешивания смесей 100*500","27","шт","210","Миксер строительный, насадка на дрель для смешивания строительных растворов.
Преимущества: металлические мешалки для краски изготавливаются из оцинкованной стали, что делает их долговечными и позволяет работать при достаточно высокой скорости.
Сфера применения: в строительстве постоянно используют сухие смеси, клея и краски, которые необходимо смешивать с водой, либо разбавлять. Для этих целей применяют строительные миксеры, которые позволяют при наличии дрели быстро и тщательно перемешать необходимую смесь. Так, например, миксер строительный идеально подходит для смешивания различных клеящих смесей и шпатлевки.
Особенности: миксеры для сухих строительных смесей рассчитаны на работу с плотными строительными материалами, такими как песок, штукатурка, шпатлевка, плиточный клей и т.д. 
Характеристики: миксеры имеют симметричную спиралеобразную форму, изготавливаются из высокопрочной стали и рассчитаны на умеренную нагрузку (600 об/мин, на массу смеси около 15 кг). Строительные миксеры для наливных полов и гипсо- содержащих смесей имею особую форму, что сводит к минимуму количество пузырьков воздуха в растворе. "
"16","Пена монтажная Титан для блоков 750 мл.","2000","шт","450","Tytan Professional EURO клей для кладки блоков предназначен для возведения несущих стен и перегородок с использованием высокоточных строительных материалов: газобетонные блоки (1я категория по ГОСТ 31360-2007), высокоточных пазогребневых гипсовых плит и силикатных блоков (по ГОСТ 379-2015).

Технические параметры
Температура применения: от -10°C до +30°C
Температура баллона: от +10°C до +30°C
Время коррекции: менее 3 мин.
Производительность: до 60 погонных метров 
Класс огнестойкости: F/B3 (DIN 4102/EN 135011)
Цвет: светло-серый
Не имеет адгезии: к полиэтилену, полипропилену, тефлону, полиамиду, силикону
Срок годности: 18 месяцев
Превосходная адгезия с поверхностью строительных материалов 
Высокий выход клея (до 60 погонных метров)
Высокий уровень теплоизоляции - ликвидация мостиков холода
Широкий диапазон температур применения: от -10°С до +30°С
Отсутствие производственных отходов, пыли, потеков"
"17","ПЕНОПЛЭКС КРОВЛЯ (пл.35 ) 1200х600х50мм 5,76 м2; 0,288 м3, (8 шт)","288","шт","1480","Экструдированный вспененный материал, изготавливаемый из полистирола общего назначения методом экструзии (смешивание гранул полистирола при высокой температуре и давлении с введением вспенивающего агента и последующим выдавливанием подготовленной массы из экструдера), который позволяет получать материал, состоящий из мелких закрытых ячеек размером 0,1-0,2 мм, с равномерной структурой.  В качестве вспенивающего агента при изготовлении пеноплэкса используется смесь легких фреонов и двуокиси углерода (СО2). Свойства: благодаря своей особой структуре пеноплэкс обладает стабильными теплотехническими показателями и отличается необычайно высокой прочностью. Другие достоинства материала: низкая теплопроводность, малое водопоглощение, нечувствительность к биологическому воздействию, стойкость к гниению.
Сфера применения: пеноплэкс эффективно решает задачи по сбережению тепла, что делает его незаменимым в гражданском и промышленном строительстве, в частности при осуществлении теплоизоляции фундаментов и цокольных этажей, кровель и межэтажных перекрытий новых и реконструируемых зданий и сооружений. Кроме того, он применяется при устройстве теплых и комфортных полов, сэндвич-панелей. Материал также широкого используется для нужд железнодорожного, автодорожного строительства (для теплоизоляции грунта). 
Монтаж: плиты легко обрабатываются и чрезвычайно просты в монтаже - они хорошо режутся с использованием обычного ножа.  
Характеристики: плотность 35 кг/м3, габариты - 1200х600х50 мм.
Упаковка: 8 шт, 5,76 м2, 0,288 м3.
Пеноплекс 35 является утеплителем нового поколения, который можно приобрести за умеренную цену и обеспечить для вашего дома повышенную теплоизоляцию. Данный материал разработан на основе последних технологий, которые дают возможность в несколько раз повысить сбережения тепла в помещении. Пеноплекс 35 не только дает возможность экономить на энергоресурсах, но также позволит создать в помещении уют и благоприятный микроклимат. Пеноплекс 35 является натуральным материалом, который не несет в себе какой-либо опасности для здоровья человека и домашних животных."
"18","Перфоратор Макита HR2450 780 Вт.","4","шт","8490","Универсальный перфоратор широкого применения.
Сфера применения: модель предназначена для простого сверления, сверления с ударом и долбления. По сути, это профессиональный инструмент, представляющий «три в одном»: дрель, ударную дрель и отбойный молоток.
Особенности: в простоте этой модели кроется ее надежность и соответствующая популярность. Перфоратор оснащен встроенной электроникой, в частности системой регулировки скорости вращения. Для этого достаточно оказать необходимое давление на «гашетку» и «умная» машина незамедлительно откликнется, замедляя или наращивая число оборотов. Эта функция необходима для наиболее эффективной работы с материалами различной плотности. Мгновенная смена рабочих насадок перфоратора обеспечивается патроном SDS-plus. Перфоратор отличается высокой надежностью и долговечностью. Этому в немалой степени способствуют пылезащищенный патрон и эффективная встроенная система пылезащиты. В дополнение к высокой производительности, надежности и долговечности перфоратор отличается особым комфортом в работе. Надежная расцепная муфта обеспечит проскальзывание вращающихся деталей механизма и предотвратит рывок. При внезапном обесточивании в сети сработает система блокировки, исключающая случайное включение перфоратора
Технические характеристики: потребляемая мощность 780 Вт, система крепления инструмента sds-plus, номинальное напряжение: 220V/50Hz. Частота вращения:	0 - 1100 об/мин. Частота ударов: 0 - 4500 об/мин. Энергия удара: 3 Дж. Количество режимов работы: 3. Реверс: щеточный.
Упаковка: вес нетто 2,4 кг."
"19","ПЕРЧАТКИ рабочие трикотажные с точечным покрытием","1374","шт","20","Рабочие перчатки из трикотажного полотна с точечным покрытием  ладони, которое обеспечивает удобный захват и высокую износостойкость изделия.
Предназначение: перчатки используются при  проведении различных строительных и ремонтных работ для защиты рук от натирания. Также они представляют собой хороший вариант для дачников и производств.  
Свойства: перчатки обеспечивают хороший воздухообмен, защищают кожу рук от механического повреждения, предотвращают скольжение предметов и деталей.  
Характеристики: изделие изготовлено с соблюдением технических условий и санитарных норм, предусмотренных для данного вида продукции."
"20","Просечка ЦПВС штукатурная, размер 1х10м (10м2)","211","шт","250","Цельнометаллическая просечно-вытяжная сетка для штукатурных работ, также известна как ""сетка штукатурная"". 
Особенности: по сравнению с сетками типа «рабица» и «тканная», ЦПВС является изделием нового поколения и обладает более совершенными качествами. 
Метод производства: сетку получают из цельного металлического листа методом просечки и вытягивания. Технологический процесс происходит без потери материала или с минимальным количеством отходов. Сетка выпускается без покрытия или оцинкованной. 
Сфера применения: оцинкованная ЦПВС используется для ответственных случаев штукатурки. Кроме того, ЦПВС применяют в качестве настила для строительных лесов. В промышленности ЦПВС используют для изготовления тары, а также для просеивания породы. Просечно-вытяжная сетка широко применяется в строительстве при штукатурных, облицовочных и фасадных работах, для изготовления облегченных ступеней, производства вентиляционных решеток. Другие возможные варианты использования - изготовление автомобильных и тракторных фильтров, клеток для домашних животных и птиц, пищевых лотков. В интерьере ЦПВС может решать сразу три важные задачи: защищать прошпаклеванные стены и потолки от температурных колебаний, механических воздействий; обеспечивать ударостойкость оштукатуренной поверхности и долговечность нанесенной штукатурки. Сетка ЦПВС также применяется при монтаже теплоизоляции в фасадных системах.
Характеристики: ЦПВС характеризует малый вес, оптимальное соотношение веса и высокой прочности, прозрачность, максимальное сцепление с любой поверхностью (благодаря трехмерной естественной структуре), гибкость, целостность структуры. Более того, структура сетки такова, что повреждение одного из элементов ЦПВС не приводит к разрыву всего полотна.  Размер плотна - 1*10 м.
Упаковка: сетка выпускается рулонами. Площадь сетки в рулоне - 10 м2."
"21","Радиатор биметаллический XTREME 500*100 (12секций) Италия","17","шт","10500","Радиатор биметаллический, изготовленный на фирме Radiatori 2000 (Италия), модели “EXTREME” гарантирует максимальную теплоотдачу при минимальных затратах. Биметаллический радиатор, выполненный в процессе литья под давлением, предлагается с межосевым расстоянием 500 мм. 
Преимущества: радиатор современного округленного профиля легко вписывается в любой интерьер, c успехом удовлетворяя самые изысканные вкусы. Для сборки секций используется автоматическая линия, выполняющая крепеж стальными ниппелями. Все изделия проходят испытания на герметичность, что исключает дефекты в радиаторах, которые поступают в продажу.
Характеристики: покрытие – порошковая эпоксидно-полиэфирная эмаль с горячей сушкой. Радиаторы предназначены для систем отопления с температурой теплоносителя до 1100ºC и максимальным рабочим давлением 37 бар. Мощность секции при 180 Вт; максимальное рабочее давление: 24 атм; присоединительный диаметр: 1""; емкость секции: 0,22 л; межосевое расстояние: 500 мм; габариты секции: 577х95х80 мм; вес секции: 1,73 кг."
"22","Саморезы по дереву 3.8х55","100","кг","250","ниверсальные шурупы-саморезы, предназначены для соединения дерева, древесностружечных плит, ДВП и других материалов. 
Сфера применения: используются для крепления гипсокартонных плит, конструкций из ДВП и ДСП к деревянным основаниям.
Покрытие: желтопассивированные.
Материал: низкоуглеродистая сталь. 
Особенности: универсальные шурупы по дереву, ДСП , ДВП. Потайная головка, крестообразный шлиц POZI, острый наконечник, крупная резьба.
Технические характеристики: длина самореза - 55 мм, диаметр 3,8 мм.
Упаковка: 1 кг."
"23","Саморезы с прессшайбой 4,2 х 16 острый наконечник","133","кг","280","Саморез с прессшайбой, предназначен для крепления стальных и других листовых материалов (фанера, МДФ, пластик и т.д.).
Сфера применения: применяется для крепления металлических и прочих листовых материалов к деревянным несущим конструкциям. 
Материал изготовления: саморезы изготавливаются из стали, поверхность оцинкована. 
Особенности конструкции: головка выполнена в виде полусферы с прессшайбой или конуса и имеет крестообразный шлиц. Наконечник самореза острый (для деревянных поверхностей). За счет прессшайбы осуществляется эффективное прижимание листовых материалов. 
Монтаж: предварительно накренить место крепления, при необходимости просверлить. Саморез закрутить с помощью отвертки или специальной насадки на дрель с крестообразным шлицем.
Технические характеристики: длина самореза - 16 мм, диаметр 4,2 мм.
Упаковка: 1 кг."
"24","Тачка строительная 2 колесная 110л","10","шт","3500","Тачка строительная двухколесная.
Преимущества: устойчива, может выдерживать довольно значительный груз и рассчитана на перевозку большого объема грузов. 
Сфера применения: широко используется в строительстве для перевозки по строительной площадке различных грузов, строительного мусора и стройматериалов, может применяться для проведения разных хозяйственных работ, таких как уборка и вывоз мусора, перевозка земли, удобрений, срезанных веток и листьев и т.п. 
Технические характеристики: вместимость - 110 литров, тип рукоятки - П-образная, упор - постоянный."
"25","ТИККУРИЛА Евро 2 / TIKKURILA Euro 2 краска матовая латексная (9 л)","79","шт","2450","Латексная краска (глубоко матовая) на основе акрилового сополимера. 
Сфера применения: материал предназначен для окраски оштукатуренных, кирпичных, бетонных, гипсокартонных, зашпатлеванных стен и потолков в помещениях с нормальной влажностью, а также для окраски обоев, древесно-стружечных и древесно-волокнистых плит. 
Особенности: краску можно использовать и на новых, и на ранее окрашенных поверхностях. Возможность выбора цвета (по гамме «Тиккурила Симфония»). Окрашенная краской поверхность выдерживает легкое мытье щеткой (после мытья допускается изменение блеска покрытий). Выдерживает 85°C сухого тепла. 
Характеристики: степень блеска - отсутствует (матовая). Расход на 1 слой – 8-10 л/м2 (на ранее окрашенную поверхность), 7–9 л/м2 (на зашпатлеванную поверхность, ДСП, ДВП, обои), 3–5 л/м2 (на бетонную и оштукатуренную поверхность). Время высыхания, +23 °C при относительной влажности воздуха 50 % – 1 час. Межслойная выдержка – 1,5–2 часа. Сухой остаток: около 56%. Плотность около 1,4 кг/л. 
Метод использования: перед употреблением краску перемешать. Наносить ее необходимо валиком, кистью или распылением. При необходимости краску можно разбавить водой до 10% по объему. Окрашиваемая поверхность должна быть чистой, сухой. Температура поверхности и воздуха при проведении работ – не менее +5°С, а относительная влажность воздуха ниже 80%."
"26","Уголок металлический 32 мм (1 п.м.)","1752","шт","120","Изделие из металла или сплава с Г-образным сечением.
Сфера применения: наиболее широко уголки металлические используется в строительной отрасли, где данные изделия необходимы как жесткая арматура для усиления бетона. Уголки применяются при возведении монолитных высотных каркасных зданий, а также для укрепления сильно нагруженных и большепролетных перекрытий. Кроме того, уголок используется для увеличения жесткости различных металлических конструкций, например, лестничных или технологических площадок.
Характеристики: сторона уголка - 32 мм, отгружается  по 3 и 6 метров."
"27","Утеплитель Роквул (Rockwool) Лайт Баттс Скандик 5,76м2 (0.288м3) 800*600*50мм","721","шт","450","Лучший продукт в своем классе, новое поколения утеплителя, новый уровень качества.

 ЛАЙТ БАТТС Скандик – лёгкие гидрофобизированные теплоизоляционные плиты, изготовленные из каменной ваты на основе базальтовых пород. 
СКАНДИК – уникальный продукт ROCKWOOL, предназначенный для частного домостроения. Уникальность нового продукта состоит, прежде всего, в революционном качестве волокон каменной ваты, которые позволяют подвергать готовые плиты компрессии до 60 %. Инженерные разработки ROCKWOOL обеспечили материалу превосходную восстанавливаемость и сохранение высоких характеристик по всем показателям.
 Другим преимуществом этих плит является использование уникальной Технологии Флекси - один край этих плит имеет способность поджиматься и разжиматься, т.е. пружинить, благодаря чему процесс установки материала в конструкции на деревянном или металлическом каркасе становится гораздо проще. Этот край располагается с длинной стороны плиты, ширина самой кромки составляет 50 мм. Флексированный край промаркирован с торца плиты. Уникальная технология вакуумной упаковки – экономия места в машине, не перевозите воздух. Для удобства продукт выпускается в двух удобных размерах: Стандартном 800 х 600 (толщиной 50 и 100 мм) для перевозки в легковых машинах;
 Материал в упаковке "
"28","Фильтр промывной для холодной воды с регулятором давления Honeywell FK06-3\4AA(100мк.)","574","шт","4210","Фильтр с прямоточной промывкой предназначен для предварительной очистки воды. 
Сфера применения: фильтр используется для тонкой очистки холодной воды.
Преимущества: сменная фильтрующая сетка изготовлена из нержавеющей стали и, при необходимости, заменяется на другую, без демонтажа фильтра. Скопившиеся примеси на дне чаши фильтра и на сетке просто смываются водой при открытии клапана.
Материал изготовления: чаша фильтра - из латуни, фильтрующая сетка - из стали.
Технические характеристики: рабочее положение: горизонтальное; размеры: внутренняя резьба 3/4"", наружная резьба 1""."
"29","ХЕБЕЛЬ / HEBEL пеноблок 250х600 толщина 100 мм","3450","шт","72","Строительный материал для возведения несущих стен. 
Преимущества: применение пеноблоков позволяет возводить крепкие стены и создавать надежную защиту от холода и зноя при минимальных трудозатратах и максимальной производительности труда. Главные свойства пенобетона - высокая стойкость к внешним температурным и механическим воздействиям и устойчивость к действию влаги. Кроме того, особая структура блоков делает их отличной основой для любых видов декоративных покрытий и облицовки.
Состав: блоки производятся из специального многокомпонентного раствора (пенистого бетона). 
Характеристики: габариты: 100Х250Х600 мм, плотность блоков - D500 кг/м3."
